lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbol,trades,win_rate,net_pnl,profit_factor
8,50.0,1.0,1.0,2.0,RELIANCE,77,31.17,-2261.54,0.3029
8,50.0,1.0,1.0,2.0,TCS,49,26.53,-1681.51,0.2016
8,50.0,1.0,1.0,2.0,INFY,47,25.53,-1738.61,0.2727
8,50.0,1.0,1.0,2.0,HDFCBANK,62,22.58,-2366.93,0.1694
8,50.0,1.0,1.0,2.0,ICICIBANK,48,16.67,-2159.48,0.1276
8,50.0,1.0,1.0,2.0,SBIN,75,26.67,-2876.24,0.2002
8,50.0,1.0,1.0,2.0,LT,61,34.43,-1465.19,0.399
8,50.0,1.0,1.0,2.0,AXISBANK,57,38.6,-1223.33,0.5033
8,50.0,1.0,1.0,2.0,ITC,80,18.75,-3341.36,0.1446
8,50.0,1.0,1.0,2.0,BHARTIARTL,53,18.87,-2467.17,0.1328
8,50.0,1.0,1.0,2.5,RELIANCE,77,29.87,-1951.54,0.4127
8,50.0,1.0,1.0,2.5,TCS,49,24.49,-1618.44,0.2552
8,50.0,1.0,1.0,2.5,INFY,47,25.53,-1492.03,0.3775
8,50.0,1.0,1.0,2.5,HDFCBANK,62,20.97,-2265.06,0.2224
8,50.0,1.0,1.0,2.5,ICICIBANK,48,14.58,-2161.4,0.15
8,50.0,1.0,1.0,2.5,SBIN,75,25.33,-2647.79,0.2759
8,50.0,1.0,1.0,2.5,LT,61,32.79,-1201.97,0.5202
8,50.0,1.0,1.0,2.5,AXISBANK,57,36.84,-978.67,0.6141
8,50.0,1.0,1.0,2.5,ITC,80,16.25,-3293.36,0.1819
8,50.0,1.0,1.0,2.5,BHARTIARTL,53,16.98,-2409.68,0.1707
8,50.0,1.0,1.0,3.0,RELIANCE,77,25.97,-1905.31,0.4558
8,50.0,1.0,1.0,3.0,TCS,49,22.45,-1618.85,0.2785
8,50.0,1.0,1.0,3.0,INFY,47,19.15,-1747.09,0.317
8,50.0,1.0,1.0,3.0,HDFCBANK,62,17.74,-2280.71,0.2372
8,50.0,1.0,1.0,3.0,ICICIBANK,48,14.58,-2125.29,0.1656
8,50.0,1.0,1.0,3.0,SBIN,75,20.0,-2965.61,0.243
8,50.0,1.0,1.0,3.0,LT,61,29.51,-1231.46,0.5323
8,50.0,1.0,1.0,3.0,AXISBANK,57,31.58,-991.08,0.632
8,50.0,1.0,1.0,3.0,ITC,80,13.75,-3396.26,0.1778
8,50.0,1.0,1.0,3.0,BHARTIARTL,53,15.09,-2381.76,0.1915
8,50.0,1.0,1.2,2.0,RELIANCE,77,33.77,-2003.72,0.4198
8,50.0,1.0,1.2,2.0,TCS,49,24.49,-1880.63,0.2166
8,50.0,1.0,1.2,2.0,INFY,47,25.53,-1805.8,0.3211
8,50.0,1.0,1.2,2.0,HDFCBANK,62,27.42,-2146.66,0.2711
8,50.0,1.0,1.2,2.0,ICICIBANK,48,16.67,-2376.55,0.1363
8,50.0,1.0,1.2,2.0,SBIN,75,29.33,-2619.54,0.3104
8,50.0,1.0,1.2,2.0,LT,61,37.7,-1257.03,0.5155
8,50.0,1.0,1.2,2.0,AXISBANK,57,40.35,-1089.58,0.5911
8,50.0,1.0,1.2,2.0,ITC,80,21.25,-3359.31,0.1953
8,50.0,1.0,1.2,2.0,BHARTIARTL,53,24.53,-2199.52,0.2354
8,50.0,1.0,1.2,2.5,RELIANCE,77,29.87,-1892.34,0.4822
8,50.0,1.0,1.2,2.5,TCS,49,22.45,-1855.24,0.2519
8,50.0,1.0,1.2,2.5,INFY,47,19.15,-1998.48,0.2887
8,50.0,1.0,1.2,2.5,HDFCBANK,62,22.58,-2154.27,0.3022
8,50.0,1.0,1.2,2.5,ICICIBANK,48,16.67,-2301.5,0.1636
8,50.0,1.0,1.2,2.5,SBIN,75,22.67,-2875.84,0.2904
8,50.0,1.0,1.2,2.5,LT,61,32.79,-1331.85,0.5263
8,50.0,1.0,1.2,2.5,AXISBANK,57,33.33,-1172.68,0.5975
8,50.0,1.0,1.2,2.5,ITC,80,18.75,-3368.76,0.2149
8,50.0,1.0,1.2,2.5,BHARTIARTL,53,20.75,-2167.52,0.2605
8,50.0,1.0,1.2,3.0,RELIANCE,77,27.27,-1649.26,0.5577
8,50.0,1.0,1.2,3.0,TCS,49,22.45,-1718.24,0.3072
8,50.0,1.0,1.2,3.0,INFY,47,19.15,-1782.66,0.3655
8,50.0,1.0,1.2,3.0,HDFCBANK,62,22.58,-1906.23,0.3852
8,50.0,1.0,1.2,3.0,ICICIBANK,48,14.58,-2381.83,0.1584
8,50.0,1.0,1.2,3.0,SBIN,75,17.33,-3176.8,0.2542
8,50.0,1.0,1.2,3.0,LT,61,29.51,-1277.22,0.5618
8,50.0,1.0,1.2,3.0,AXISBANK,57,28.07,-1388.02,0.5446
8,50.0,1.0,1.2,3.0,ITC,80,17.5,-3456.11,0.2062
8,50.0,1.0,1.2,3.0,BHARTIARTL,53,20.75,-2013.3,0.3148
8,50.0,1.5,1.0,2.0,RELIANCE,42,30.95,-1180.24,0.344
8,50.0,1.5,1.0,2.0,TCS,34,32.35,-988.83,0.2584
8,50.0,1.5,1.0,2.0,INFY,24,33.33,-703.42,0.3537
8,50.0,1.5,1.0,2.0,HDFCBANK,35,22.86,-1296.29,0.1894
8,50.0,1.5,1.0,2.0,ICICIBANK,30,13.33,-1391.98,0.0862
8,50.0,1.5,1.0,2.0,SBIN,53,22.64,-2382.86,0.1256
8,50.0,1.5,1.0,2.0,LT,36,27.78,-1127.8,0.3033
8,50.0,1.5,1.0,2.0,AXISBANK,30,46.67,-277.09,0.7508
8,50.0,1.5,1.0,2.0,ITC,62,11.29,-3003.47,0.089
8,50.0,1.5,1.0,2.0,BHARTIARTL,27,18.52,-1149.86,0.1574
8,50.0,1.5,1.0,2.5,RELIANCE,42,28.57,-1004.89,0.4572
8,50.0,1.5,1.0,2.5,TCS,34,29.41,-959.65,0.3147
8,50.0,1.5,1.0,2.5,INFY,24,29.17,-706.22,0.393
8,50.0,1.5,1.0,2.5,HDFCBANK,35,20.0,-1284.09,0.2275
8,50.0,1.5,1.0,2.5,ICICIBANK,30,13.33,-1329.63,0.1271
8,50.0,1.5,1.0,2.5,SBIN,53,22.64,-2221.3,0.1867
8,50.0,1.5,1.0,2.5,LT,36,22.22,-1183.72,0.3228
8,50.0,1.5,1.0,2.5,AXISBANK,30,43.33,-189.62,0.8394
8,50.0,1.5,1.0,2.5,ITC,62,11.29,-2879.93,0.1274
8,50.0,1.5,1.0,2.5,BHARTIARTL,27,14.81,-1169.64,0.1793
8,50.0,1.5,1.0,3.0,RELIANCE,42,28.57,-768.11,0.5862
8,50.0,1.5,1.0,3.0,TCS,34,29.41,-821.25,0.4135
8,50.0,1.5,1.0,3.0,INFY,24,20.83,-861.56,0.3079
8,50.0,1.5,1.0,3.0,HDFCBANK,35,17.14,-1327.32,0.2336
8,50.0,1.5,1.0,3.0,ICICIBANK,30,13.33,-1267.27,0.1681
8,50.0,1.5,1.0,3.0,SBIN,53,20.75,-2147.46,0.2289
8,50.0,1.5,1.0,3.0,LT,36,22.22,-1146.07,0.3443
8,50.0,1.5,1.0,3.0,AXISBANK,30,40.0,-70.68,0.9415
8,50.0,1.5,1.0,3.0,ITC,62,6.45,-3087.26,0.0955
8,50.0,1.5,1.0,3.0,BHARTIARTL,27,14.81,-1134.01,0.2042
8,50.0,1.5,1.2,2.0,RELIANCE,42,30.95,-1126.42,0.429
8,50.0,1.5,1.2,2.0,TCS,34,29.41,-1134.47,0.2669
8,50.0,1.5,1.2,2.0,INFY,24,33.33,-700.08,0.4215
8,50.0,1.5,1.2,2.0,HDFCBANK,35,25.71,-1262.77,0.258
8,50.0,1.5,1.2,2.0,ICICIBANK,30,16.67,-1417.62,0.1234
8,50.0,1.5,1.2,2.0,SBIN,53,28.3,-2129.49,0.2387
8,50.0,1.5,1.2,2.0,LT,36,27.78,-1247.91,0.3188
8,50.0,1.5,1.2,2.0,AXISBANK,30,46.67,-234.81,0.8103
8,50.0,1.5,1.2,2.0,ITC,62,16.13,-2968.12,0.1387
8,50.0,1.5,1.2,2.0,BHARTIARTL,27,22.22,-1072.47,0.2483
8,50.0,1.5,1.2,2.5,RELIANCE,42,30.95,-822.48,0.5842
8,50.0,1.5,1.2,2.5,TCS,34,29.41,-968.39,0.3742
8,50.0,1.5,1.2,2.5,INFY,24,20.83,-1001.56,0.2767
8,50.0,1.5,1.2,2.5,HDFCBANK,35,22.86,-1233.88,0.3038
8,50.0,1.5,1.2,2.5,ICICIBANK,30,16.67,-1330.5,0.1773
8,50.0,1.5,1.2,2.5,SBIN,53,26.42,-1951.28,0.3166
8,50.0,1.5,1.2,2.5,LT,36,27.78,-1152.38,0.371
8,50.0,1.5,1.2,2.5,AXISBANK,30,40.0,-204.38,0.8476
8,50.0,1.5,1.2,2.5,ITC,62,11.29,-3116.91,0.1266
8,50.0,1.5,1.2,2.5,BHARTIARTL,27,22.22,-978.48,0.3142
8,50.0,1.5,1.2,3.0,RELIANCE,42,30.95,-518.7,0.7385
8,50.0,1.5,1.2,3.0,TCS,34,29.41,-846.17,0.4532
8,50.0,1.5,1.2,3.0,INFY,24,20.83,-894.91,0.3538
8,50.0,1.5,1.2,3.0,HDFCBANK,35,20.0,-1245.93,0.3234
8,50.0,1.5,1.2,3.0,ICICIBANK,30,13.33,-1379.01,0.1796
8,50.0,1.5,1.2,3.0,SBIN,53,20.75,-2215.11,0.2637
8,50.0,1.5,1.2,3.0,LT,36,22.22,-1313.95,0.321
8,50.0,1.5,1.2,3.0,AXISBANK,30,33.33,-304.75,0.781
8,50.0,1.5,1.2,3.0,ITC,62,9.68,-3198.25,0.1209
8,50.0,1.5,1.2,3.0,BHARTIARTL,27,22.22,-867.89,0.3917
8,55.0,1.0,1.0,2.0,RELIANCE,77,31.17,-2261.54,0.3029
8,55.0,1.0,1.0,2.0,TCS,49,26.53,-1681.51,0.2016
8,55.0,1.0,1.0,2.0,INFY,47,23.4,-1866.07,0.242
8,55.0,1.0,1.0,2.0,HDFCBANK,62,22.58,-2366.93,0.1694
8,55.0,1.0,1.0,2.0,ICICIBANK,48,16.67,-2159.48,0.1276
8,55.0,1.0,1.0,2.0,SBIN,75,26.67,-2876.24,0.2002
8,55.0,1.0,1.0,2.0,LT,61,32.79,-1623.95,0.3533
8,55.0,1.0,1.0,2.0,AXISBANK,56,37.5,-1341.56,0.4533
8,55.0,1.0,1.0,2.0,ITC,80,18.75,-3342.42,0.1446
8,55.0,1.0,1.0,2.0,BHARTIARTL,52,19.23,-2375.42,0.1372
8,55.0,1.0,1.0,2.5,RELIANCE,77,29.87,-1951.54,0.4127
8,55.0,1.0,1.0,2.5,TCS,49,24.49,-1618.44,0.2552
8,55.0,1.0,1.0,2.5,INFY,47,23.4,-1635.07,0.3358
8,55.0,1.0,1.0,2.5,HDFCBANK,62,20.97,-2265.06,0.2224
8,55.0,1.0,1.0,2.5,ICICIBANK,48,14.58,-2161.4,0.15
8,55.0,1.0,1.0,2.5,SBIN,75,25.33,-2647.79,0.2759
8,55.0,1.0,1.0,2.5,LT,61,31.15,-1403.53,0.4586
8,55.0,1.0,1.0,2.5,AXISBANK,56,35.71,-1049.69,0.5861
8,55.0,1.0,1.0,2.5,ITC,80,16.25,-3294.42,0.1819
8,55.0,1.0,1.0,2.5,BHARTIARTL,52,17.31,-2317.94,0.1762
8,55.0,1.0,1.0,3.0,RELIANCE,77,25.97,-1905.31,0.4558
8,55.0,1.0,1.0,3.0,TCS,49,22.45,-1618.85,0.2785
8,55.0,1.0,1.0,3.0,INFY,47,19.15,-1813.3,0.309
8,55.0,1.0,1.0,3.0,HDFCBANK,62,17.74,-2280.71,0.2372
8,55.0,1.0,1.0,3.0,ICICIBANK,48,14.58,-2125.29,0.1656
8,55.0,1.0,1.0,3.0,SBIN,75,20.0,-2965.61,0.243
8,55.0,1.0,1.0,3.0,LT,61,27.87,-1327.09,0.5096
8,55.0,1.0,1.0,3.0,AXISBANK,56,30.36,-1062.1,0.6057
8,55.0,1.0,1.0,3.0,ITC,80,13.75,-3397.32,0.1777
8,55.0,1.0,1.0,3.0,BHARTIARTL,52,15.38,-2290.01,0.1977
8,55.0,1.0,1.2,2.0,RELIANCE,77,33.77,-2003.72,0.4198
8,55.0,1.0,1.2,2.0,TCS,49,24.49,-1880.63,0.2166
8,55.0,1.0,1.2,2.0,INFY,47,23.4,-1958.73,0.2849
8,55.0,1.0,1.2,2.0,HDFCBANK,62,27.42,-2146.66,0.2711
8,55.0,1.0,1.2,2.0,ICICIBANK,48,16.67,-2376.55,0.1363
8,55.0,1.0,1.2,2.0,SBIN,75,29.33,-2619.54,0.3104
8,55.0,1.0,1.2,2.0,LT,61,34.43,-1527.71,0.4425
8,55.0,1.0,1.2,2.0,AXISBANK,56,39.29,-1164.53,0.5629
8,55.0,1.0,1.2,2.0,ITC,80,21.25,-3360.58,0.1953
8,55.0,1.0,1.2,2.0,BHARTIARTL,52,23.08,-2251.77,0.2122
8,55.0,1.0,1.2,2.5,RELIANCE,77,29.87,-1892.34,0.4822
8,55.0,1.0,1.2,2.5,TCS,49,22.45,-1855.24,0.2519
8,55.0,1.0,1.2,2.5,INFY,47,19.15,-2072.85,0.2812
8,55.0,1.0,1.2,2.5,HDFCBANK,62,22.58,-2154.27,0.3022
8,55.0,1.0,1.2,2.5,ICICIBANK,48,16.67,-2301.5,0.1636
8,55.0,1.0,1.2,2.5,SBIN,75,22.67,-2875.84,0.2904
8,55.0,1.0,1.2,2.5,LT,61,29.51,-1511.01,0.4862
8,55.0,1.0,1.2,2.5,AXISBANK,56,32.14,-1238.93,0.574
8,55.0,1.0,1.2,2.5,ITC,80,18.75,-3370.03,0.2148
8,55.0,1.0,1.2,2.5,BHARTIARTL,52,21.15,-2135.46,0.2633
8,55.0,1.0,1.2,3.0,RELIANCE,77,27.27,-1649.26,0.5577
8,55.0,1.0,1.2,3.0,TCS,49,22.45,-1718.24,0.3072
8,55.0,1.0,1.2,3.0,INFY,47,19.15,-1857.04,0.3561
8,55.0,1.0,1.2,3.0,HDFCBANK,62,22.58,-1906.23,0.3852
8,55.0,1.0,1.2,3.0,ICICIBANK,48,14.58,-2381.83,0.1584
8,55.0,1.0,1.2,3.0,SBIN,75,17.33,-3176.8,0.2542
8,55.0,1.0,1.2,3.0,LT,61,26.23,-1482.97,0.5154
8,55.0,1.0,1.2,3.0,AXISBANK,56,26.79,-1454.28,0.5221
8,55.0,1.0,1.2,3.0,ITC,80,17.5,-3457.38,0.2061
8,55.0,1.0,1.2,3.0,BHARTIARTL,52,21.15,-1981.24,0.3183
8,55.0,1.5,1.0,2.0,RELIANCE,42,30.95,-1180.24,0.344
8,55.0,1.5,1.0,2.0,TCS,34,32.35,-988.83,0.2584
8,55.0,1.5,1.0,2.0,INFY,24,29.17,-832.8,0.283
8,55.0,1.5,1.0,2.0,HDFCBANK,35,22.86,-1296.29,0.1894
8,55.0,1.5,1.0,2.0,ICICIBANK,30,13.33,-1391.98,0.0862
8,55.0,1.5,1.0,2.0,SBIN,53,22.64,-2382.86,0.1256
8,55.0,1.5,1.0,2.0,LT,35,25.71,-1256.65,0.2439
8,55.0,1.5,1.0,2.0,AXISBANK,29,44.83,-403.24,0.6374
8,55.0,1.5,1.0,2.0,ITC,61,11.48,-2927.09,0.0911
8,55.0,1.5,1.0,2.0,BHARTIARTL,27,18.52,-1149.86,0.1574
8,55.0,1.5,1.0,2.5,RELIANCE,42,28.57,-1004.89,0.4572
8,55.0,1.5,1.0,2.5,TCS,34,29.41,-959.65,0.3147
8,55.0,1.5,1.0,2.5,INFY,24,25.0,-857.25,0.3067
8,55.0,1.5,1.0,2.5,HDFCBANK,35,20.0,-1284.09,0.2275
8,55.0,1.5,1.0,2.5,ICICIBANK,30,13.33,-1329.63,0.1271
8,55.0,1.5,1.0,2.5,SBIN,53,22.64,-2221.3,0.1867
8,55.0,1.5,1.0,2.5,LT,35,20.0,-1341.11,0.2512
8,55.0,1.5,1.0,2.5,AXISBANK,29,41.38,-260.64,0.7793
8,55.0,1.5,1.0,2.5,ITC,61,11.48,-2802.29,0.1304
8,55.0,1.5,1.0,2.5,BHARTIARTL,27,14.81,-1169.64,0.1793
8,55.0,1.5,1.0,3.0,RELIANCE,42,28.57,-768.11,0.5862
8,55.0,1.5,1.0,3.0,TCS,34,29.41,-821.25,0.4135
8,55.0,1.5,1.0,3.0,INFY,24,20.83,-929.7,0.2919
8,55.0,1.5,1.0,3.0,HDFCBANK,35,17.14,-1327.32,0.2336
8,55.0,1.5,1.0,3.0,ICICIBANK,30,13.33,-1267.27,0.1681
8,55.0,1.5,1.0,3.0,SBIN,53,20.75,-2147.46,0.2289
8,55.0,1.5,1.0,3.0,LT,35,20.0,-1211.79,0.3234
8,55.0,1.5,1.0,3.0,AXISBANK,29,37.93,-141.7,0.8826
8,55.0,1.5,1.0,3.0,ITC,61,6.56,-3010.63,0.0977
8,55.0,1.5,1.0,3.0,BHARTIARTL,27,14.81,-1134.01,0.2042
8,55.0,1.5,1.2,2.0,RELIANCE,42,30.95,-1126.42,0.429
8,55.0,1.5,1.2,2.0,TCS,34,29.41,-1134.47,0.2669
8,55.0,1.5,1.2,2.0,INFY,24,29.17,-855.29,0.3379
8,55.0,1.5,1.2,2.0,HDFCBANK,35,25.71,-1262.77,0.258
8,55.0,1.5,1.2,2.0,ICICIBANK,30,16.67,-1417.62,0.1234
8,55.0,1.5,1.2,2.0,SBIN,53,28.3,-2129.49,0.2387
8,55.0,1.5,1.2,2.0,LT,35,22.86,-1470.67,0.2378
8,55.0,1.5,1.2,2.0,AXISBANK,29,44.83,-305.83,0.7529
8,55.0,1.5,1.2,2.0,ITC,61,16.39,-2882.25,0.1422
8,55.0,1.5,1.2,2.0,BHARTIARTL,27,22.22,-1072.47,0.2483
8,55.0,1.5,1.2,2.5,RELIANCE,42,30.95,-822.48,0.5842
8,55.0,1.5,1.2,2.5,TCS,34,29.41,-968.39,0.3742
8,55.0,1.5,1.2,2.5,INFY,24,20.83,-1078.22,0.2622
8,55.0,1.5,1.2,2.5,HDFCBANK,35,22.86,-1233.88,0.3038
8,55.0,1.5,1.2,2.5,ICICIBANK,30,16.67,-1330.5,0.1773
8,55.0,1.5,1.2,2.5,SBIN,53,26.42,-1951.28,0.3166
8,55.0,1.5,1.2,2.5,LT,35,22.86,-1299.69,0.3264
8,55.0,1.5,1.2,2.5,AXISBANK,29,37.93,-271.37,0.797
8,55.0,1.5,1.2,2.5,ITC,61,11.48,-3030.47,0.1299
8,55.0,1.5,1.2,2.5,BHARTIARTL,27,22.22,-978.48,0.3142
8,55.0,1.5,1.2,3.0,RELIANCE,42,30.95,-518.7,0.7385
8,55.0,1.5,1.2,3.0,TCS,34,29.41,-846.17,0.4532
8,55.0,1.5,1.2,3.0,INFY,24,20.83,-971.57,0.3352
8,55.0,1.5,1.2,3.0,HDFCBANK,35,20.0,-1245.93,0.3234
8,55.0,1.5,1.2,3.0,ICICIBANK,30,13.33,-1379.01,0.1796
8,55.0,1.5,1.2,3.0,SBIN,53,20.75,-2215.11,0.2637
8,55.0,1.5,1.2,3.0,LT,35,17.14,-1471.77,0.276
8,55.0,1.5,1.2,3.0,AXISBANK,29,31.03,-375.76,0.7299
8,55.0,1.5,1.2,3.0,ITC,61,9.84,-3111.24,0.1239
8,55.0,1.5,1.2,3.0,BHARTIARTL,27,22.22,-867.89,0.3917
8,60.0,1.0,1.0,2.0,RELIANCE,71,32.39,-2001.77,0.3194
8,60.0,1.0,1.0,2.0,TCS,48,25.0,-1699.09,0.1916
8,60.0,1.0,1.0,2.0,INFY,40,27.5,-1403.04,0.2965
8,60.0,1.0,1.0,2.0,HDFCBANK,55,20.0,-2261.21,0.138
8,60.0,1.0,1.0,2.0,ICICIBANK,43,18.6,-1842.75,0.1464
8,60.0,1.0,1.0,2.0,SBIN,72,26.39,-2726.26,0.2053
8,60.0,1.0,1.0,2.0,LT,54,35.19,-1308.97,0.3904
8,60.0,1.0,1.0,2.0,AXISBANK,52,38.46,-1163.2,0.483
8,60.0,1.0,1.0,2.0,ITC,78,17.95,-3336.12,0.1367
8,60.0,1.0,1.0,2.0,BHARTIARTL,50,20.0,-2236.78,0.1445
8,60.0,1.0,1.0,2.5,RELIANCE,71,30.99,-1695.02,0.4366
8,60.0,1.0,1.0,2.5,TCS,48,22.92,-1648.32,0.2399
8,60.0,1.0,1.0,2.5,INFY,40,25.0,-1336.3,0.3556
8,60.0,1.0,1.0,2.5,HDFCBANK,55,18.18,-2211.76,0.1767
8,60.0,1.0,1.0,2.5,ICICIBANK,43,16.28,-1848.65,0.1711
8,60.0,1.0,1.0,2.5,SBIN,72,25.0,-2508.37,0.2816
8,60.0,1.0,1.0,2.5,LT,54,33.33,-1093.71,0.506
8,60.0,1.0,1.0,2.5,AXISBANK,52,36.54,-875.43,0.6224
8,60.0,1.0,1.0,2.5,ITC,78,15.38,-3305.28,0.1704
8,60.0,1.0,1.0,2.5,BHARTIARTL,50,18.0,-2179.3,0.1854
8,60.0,1.0,1.0,3.0,RELIANCE,71,26.76,-1665.7,0.4774
8,60.0,1.0,1.0,3.0,TCS,48,20.83,-1661.04,0.2582
8,60.0,1.0,1.0,3.0,INFY,40,20.0,-1538.29,0.3121
8,60.0,1.0,1.0,3.0,HDFCBANK,55,14.55,-2276.13,0.1762
8,60.0,1.0,1.0,3.0,ICICIBANK,43,16.28,-1808.56,0.1891
8,60.0,1.0,1.0,3.0,SBIN,72,20.83,-2747.96,0.2573
8,60.0,1.0,1.0,3.0,LT,54,29.63,-1050.96,0.5513
8,60.0,1.0,1.0,3.0,AXISBANK,52,30.77,-902.26,0.6356
8,60.0,1.0,1.0,3.0,ITC,78,12.82,-3423.41,0.1625
8,60.0,1.0,1.0,3.0,BHARTIARTL,50,16.0,-2151.37,0.2078
8,60.0,1.0,1.2,2.0,RELIANCE,71,35.21,-1727.45,0.4457
8,60.0,1.0,1.2,2.0,TCS,48,22.92,-1906.92,0.2039
8,60.0,1.0,1.2,2.0,INFY,40,27.5,-1444.36,0.3493
8,60.0,1.0,1.2,2.0,HDFCBANK,55,27.27,-1941.6,0.2608
8,60.0,1.0,1.2,2.0,ICICIBANK,43,18.6,-2029.41,0.1565
8,60.0,1.0,1.2,2.0,SBIN,72,27.78,-2549.15,0.2959
8,60.0,1.0,1.2,2.0,LT,54,37.04,-1172.14,0.4948
8,60.0,1.0,1.2,2.0,AXISBANK,52,42.31,-845.56,0.641
8,60.0,1.0,1.2,2.0,ITC,78,21.79,-3244.83,0.2009
8,60.0,1.0,1.2,2.0,BHARTIARTL,50,24.0,-2104.49,0.2238
8,60.0,1.0,1.2,2.5,RELIANCE,71,32.39,-1485.33,0.5413
8,60.0,1.0,1.2,2.5,TCS,48,20.83,-1896.3,0.2337
8,60.0,1.0,1.2,2.5,INFY,40,20.0,-1750.61,0.285
8,60.0,1.0,1.2,2.5,HDFCBANK,55,21.82,-1995.55,0.2802
8,60.0,1.0,1.2,2.5,ICICIBANK,43,18.6,-1953.47,0.188
8,60.0,1.0,1.2,2.5,SBIN,72,22.22,-2755.51,0.2786
8,60.0,1.0,1.2,2.5,LT,54,31.48,-1178.74,0.5323
8,60.0,1.0,1.2,2.5,AXISBANK,52,34.62,-927.13,0.644
8,60.0,1.0,1.2,2.5,ITC,78,19.23,-3254.15,0.2209
8,60.0,1.0,1.2,2.5,BHARTIARTL,50,22.0,-1993.84,0.2769
8,60.0,1.0,1.2,3.0,RELIANCE,71,29.58,-1267.27,0.618
8,60.0,1.0,1.2,3.0,TCS,48,20.83,-1730.21,0.3008
8,60.0,1.0,1.2,3.0,INFY,40,20.0,-1567.79,0.3609
8,60.0,1.0,1.2,3.0,HDFCBANK,55,21.82,-1780.86,0.3584
8,60.0,1.0,1.2,3.0,ICICIBANK,43,16.28,-2037.28,0.1814
8,60.0,1.0,1.2,3.0,SBIN,72,16.67,-2981.35,0.2605
8,60.0,1.0,1.2,3.0,LT,54,27.78,-1174.02,0.5553
8,60.0,1.0,1.2,3.0,AXISBANK,52,28.85,-1145.71,0.5824
8,60.0,1.0,1.2,3.0,ITC,78,17.95,-3352.94,0.2095
8,60.0,1.0,1.2,3.0,BHARTIARTL,50,22.0,-1832.36,0.3354
